,instance,Item number,Stack number,Mean stack size,Total item area,Mean item area,initialCost,bestCost,improvement,benchmark,%benchmark,occupation rate
0,data/dataset_A/A1,5,1,5,4514704,902940,550676,550676,0%,"425,486",29%,89%
1,data/dataset_A/A2,72,72,1,77201851,1072247,72129910,44932013,61%,"4,383,509",925%,63%
2,data/dataset_A/A3,68,7,9,41796990,614661,45430643,8983191,406%,"2,651,880",239%,82%
3,data/dataset_A/A4,68,7,9,41796990,614661,45430643,8983191,406%,"2,924,730",207%,82%
4,data/dataset_A/A5,97,12,8,56570007,583195,73160394,10399326,604%,"3,017,223",245%,84%
5,data/dataset_A/A6,37,6,6,43254870,1169050,32525130,8150106,299%,"3,188,646",156%,84%
6,data/dataset_A/A7,57,9,6,70195170,1231494,60626230,15793484,284%,"3,920,520",303%,82%
7,data/dataset_A/A8,129,8,16,138045196,1070117,163743978,31744702,416%,"8,378,954",279%,81%
8,data/dataset_A/A9,63,9,7,44879034,712365,47884290,8299810,477%,"2,664,276",212%,84%
9,data/dataset_A/A10,86,9,9,71100239,826746,73302663,14099581,420%,"4,084,381",245%,83%
10,data/dataset_A/A11,86,10,8,64444211,749351,73756675,13793169,435%,"4,358,929",216%,82%
11,data/dataset_A/A12,50,8,6,29180006,583600,33524134,5009719,569%,"1,879,954",166%,85%
12,data/dataset_A/A13,272,11,24,213400977,784562,315738032,43757278,622%,"9,331,293",369%,83%
13,data/dataset_A/A14,361,12,30,226360542,627037,400060204,45080420,787%,"10,383,378",334%,83%
14,data/dataset_A/A15,392,14,28,238633039,608757,429711495,54045356,695%,"10,828,901",399%,82%
15,data/dataset_A/A16,38,5,7,37325677,982254,31350263,7370875,325%,"3,380,333",118%,84%
16,data/dataset_A/A17,21,2,10,19623149,934435,10135968,3835605,164%,"3,617,251",6%,84%
17,data/dataset_A/A18,73,6,12,60282102,825782,76760347,10674365,619%,"4,983,618",114%,85%
18,data/dataset_A/A19,47,6,7,41044876,873295,32460914,7714967,321%,"3,323,744",132%,84%
19,data/dataset_A/A20,17,10,1,14710475,865322,10240309,3283365,212%,"1,467,925",124%,82%
20,data/dataset_B/B1,68,68,1,77110392,1133976,74725042,36896020,103%,"2,661,318",1286%,68%
21,data/dataset_B/B2,383,13,29,315354085,823378,507372411,61718435,722%,"11,931,095",417%,84%
22,data/dataset_B/B3,332,12,27,349989487,1054185,511373444,66624997,668%,"15,786,803",322%,84%
23,data/dataset_B/B4,261,12,21,148205615,567837,293440934,30939285,848%,"7,315,675",323%,83%
24,data/dataset_B/B5,207,2,103,319711555,1544500,319140849,124036753,157%,"72,155,615",72%,72%
25,data/dataset_B/B6,204,9,22,192874073,945461,248318455,39484513,529%,"10,800,427",266%,83%
26,data/dataset_B/B7,241,241,1,187746291,779030,279987114,124683597,125%,"6,628,839",1781%,60%
27,data/dataset_B/B8,334,12,27,339397811,1016161,487222407,68836050,608%,"14,398,759",378%,83%
28,data/dataset_B/B9,247,12,20,293827643,1189585,456557967,44573943,924%,"16,495,897",170%,87%
29,data/dataset_B/B10,214,13,16,345904837,1616377,399234803,76374704,423%,"21,951,533",248%,82%
30,data/dataset_B/B11,274,15,18,336052870,1226470,428227045,60555078,607%,"20,626,280",194%,85%
31,data/dataset_B/B12,439,18,24,259876763,591974,501473246,53618149,835%,"12,514,207",328%,83%
32,data/dataset_B/B13,656,18,36,484072875,737915,874535407,105262274,731%,"22,657,725",365%,82%
33,data/dataset_B/B14,267,14,19,176124110,659640,283435250,36950942,667%,"8,023,960",361%,83%
34,data/dataset_B/B15,431,21,20,432558079,1003615,639668228,88689252,621%,"22,619,921",292%,83%
35,data/dataset_X/X1,300,10,30,244983403,816611,369607335,50123696,637%,"13,720,127",265%,83%
36,data/dataset_X/X2,247,247,1,147062803,595395,227919197,107249303,113%,"4,795,877",2136%,58%
37,data/dataset_X/X3,258,12,21,156830774,607871,234319154,33569993,598%,"6,837,496",391%,82%
38,data/dataset_X/X4,371,18,20,241257058,650288,410092458,47383740,765%,"11,405,252",315%,84%
39,data/dataset_X/X5,124,16,7,78796003,635451,109024307,15797959,590%,"4,522,757",249%,83%
40,data/dataset_X/X6,412,18,22,248147317,602299,502987274,49071077,925%,"9,365,303",424%,83%
41,data/dataset_X/X7,215,10,21,369443070,1718339,403229145,85567919,371%,"20,568,720",316%,81%
42,data/dataset_X/X8,173,2,86,134427339,777036,164472170,59245190,178%,"22,265,601",166%,69%
43,data/dataset_X/X9,233,12,19,361189695,1550170,443978023,84684532,424%,"20,039,535",323%,81%
44,data/dataset_X/X10,375,15,25,333756718,890017,534419012,77630299,588%,"16,865,162",360%,81%
45,data/dataset_X/X11,362,14,25,223408308,617150,432705536,51592918,739%,"11,011,572",369%,81%
46,data/dataset_X/X12,302,14,21,242393345,802626,400537555,53538147,648%,"10,246,495",423%,82%
47,data/dataset_X/X13,344,16,21,259467828,754266,420324976,52665958,698%,"12,130,272",334%,83%
48,data/dataset_X/X14,253,12,21,158409238,626123,270631421,37861249,615%,"7,422,572",410%,81%
49,data/dataset_X/X15,296,12,24,242691036,819902,370187512,53861830,587%,"10,882,914",395%,82%
,,,,,,,,,,,,
,,,,,,,,,,,,
